Synsets,domain_x,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,ngram_2009_2019_original_sleep,ngram_2009_2019_updata_sleep
Synset('gathered_skirt.n.01'),garm,1,1,0.0,0.9475524475524476,0.9087306426045604,14,1,1,nb,9.137717491129611e-09,9.137717491129611e-09
Synset('pelisse.n.01'),garm,1,0,0.0,1.1581196581196582,0.8426411413242287,7,1,1,nb,1.2779128165763998e-07,1.2779128165763998e-07
Synset('cape.n.02'),garm,1,4,0.0,1.052836052836053,0.7435068894037312,4,2,10,b,1.8827826992988278e-05,1.8827826992988278e-05
Synset('gymslip.n.01'),garm,1,0,0.0,1.1581196581196582,1.1235215217656382,7,1,1,nb,6.971410990153082e-09,6.971410990153082e-09
Synset('kerchief.n.01'),garm,1,5,0.0,0.9475524475524476,1.420924277527131,8,1,1,nb,4.750048509678932e-07,4.750048509678932e-07
Synset('puttee.n.01'),garm,1,0,0.0,0.9475524475524476,1.420924277527131,6,1,1,nb,1.0684846991714842e-08,1.0684846991714842e-08
Synset('single-breasted_suit.n.01'),garm,1,0,3.613333333333333,0.9475524475524476,0.6278502621631508,20,1,1,nb,3.6850225093587596e-09,3.6850225093587596e-09
Synset('pinstripe.n.01'),garm,1,0,0.0,0.9475524475524476,0.7930740153639799,9,1,3,nb,1.47713664572729e-07,1.47713664572729e-07
Synset('business_suit.n.01'),garm,1,2,0.0,0.9475524475524476,0.8426411413242287,13,1,1,nb,3.5722496249945834e-07,3.5722496249945834e-07
Synset('double-breasted_suit.n.01'),garm,1,0,3.613333333333333,0.9475524475524476,0.594805511522985,20,1,1,nb,3.514104934316203e-08,3.514104934316203e-08
Synset('turtleneck.n.01'),garm,2,0,3.613333333333333,0.9475524475524476,0.8591635166443117,6,3,4,nb,4.2352832551959745e-06,4.2352832551959745e-06
Synset('pullover.n.01'),garm,1,1,0.0,0.9475524475524476,0.8591635166443117,8,2,1,nb,2.9452874629244547e-07,2.9452874629244547e-07
Synset('jerkin.n.01'),garm,1,0,0.0,1.1581196581196582,1.5200585294476283,6,1,1,nb,2.473751297138449e-07,2.473751297138449e-07
Synset('leotard.n.01'),garm,1,0,0.0,0.8422688422688422,3.750579197658822,7,4,1,b,2.1957786739583052e-07,2.1957786739583052e-07
Synset('tank_top.n.01'),garm,1,0,0.0,0.9475524475524476,2.0983416656505303,8,1,1,nb,7.66844157789654e-07,7.66844157789654e-07
Synset('surcoat.n.02'),garm,1,0,0.0,1.1581196581196582,0.5617607608828191,7,1,2,nb,1.2660334246617955e-07,1.2660334246617955e-07
Synset('string_tie.n.01'),garm,1,0,0.0,1.052836052836053,0.7104621387635653,10,1,1,nb,3.29176524422275e-08,3.29176524422275e-08
Synset('miniskirt.n.01'),garm,1,0,0.0,0.9475524475524476,0.2974027557614925,4,2,2,nb,7.834983653400649e-06,7.834983653400649e-06
Synset('bulletproof_vest.n.01'),garm,2,0,0.0,0.9475524475524476,0.8261187660041458,16,1,1,nb,1.002685084860001e-07,1.002685084860001e-07
Synset('izar.n.01'),garm,1,0,0.0,0.9475524475524476,2.4287891720521886,4,1,1,nb,2.968165267231376e-08,2.968165267231376e-08
Synset('duffel_coat.n.01'),garm,1,0,0.0,1.052836052836053,1.173088647725887,11,2,1,nb,5.249126659912456e-08,5.249126659912456e-08
Synset('raincoat.n.01'),garm,1,4,0.0,1.052836052836053,0.3634922570418241,8,2,4,nb,1.9499270707192617e-06,1.9499270707192617e-06
Synset('macintosh.n.02'),garm,1,1,3.613333333333333,1.1581196581196582,0.7765516400438971,3,4,2,nb,2.0067680877033922e-05,2.0067680877033922e-05
Synset('windsor_tie.n.01'),garm,1,0,0.0,1.052836052836053,0.5617607608828191,11,1,1,nb,1.8008511597979802e-09,1.8008511597979802e-09
Synset('stole.n.01'),garm,1,0,0.0,0.9475524475524476,0.7930740153639799,5,1,4,nb,7.573496698786254e-06,7.573496698786254e-06
Synset('dolman.n.02'),garm,1,0,3.613333333333333,1.052836052836053,0.5782831362029021,6,1,2,nb,8.339368224257787e-08,8.339368224257787e-08
Synset('corset.n.01'),garm,1,1,0.0,1.052836052836053,0.6939397634434825,5,3,17,b,9.374906281581472e-06,9.374906281581472e-06
Synset('hug-me-tight.n.01'),garm,1,0,0.0,1.1581196581196582,0.3800146323619071,12,1,1,nb,1.081372403238296e-09,1.081372403238296e-09
Synset('roll-on.n.02'),garm,1,0,0.0,1.052836052836053,0.8261187660041458,7,1,2,nb,3.727605141223833e-08,3.727605141223833e-08
Synset('sack.n.05'),garm,1,0,0.0,1.1581196581196582,0.6113278868430679,4,2,13,nb,5.7232673979220785e-06,5.7232673979220785e-06
Synset('tippet.n.01'),garm,1,0,0.0,1.1581196581196582,1.6357151566882089,6,1,1,nb,1.4094078746509162e-07,1.4094078746509162e-07
Synset('babushka.n.01'),garm,1,0,0.0,1.1581196581196582,1.6026704060480428,8,1,1,nb,8.443370230254937e-08,8.443370230254937e-08
Synset('dressing_sack.n.01'),garm,1,0,0.0,1.1581196581196582,0.7104621387635653,13,2,1,nb,9.940242552686218e-10,9.940242552686218e-10
Synset('maillot.n.01'),garm,1,0,0.0,0.9475524475524476,0.5287160102426534,7,2,2,nb,5.5676891624889535e-08,5.5676891624889535e-08
