norm,Synsets,domain_x,ngrams_last_mean,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,kbnc_1m_sum,childes_1m_rel_sum,childes_2_4m_rel_sum,childes_5_7m_rel_sum,bnc_1m_sum,bnc_5_7m_sum,bnc_2_4m_sum,bnc_100m_sum,cabnc_per_100k_2_4m,cabnc_per_100k_1m
eating_apple,Synset('eating_apple.n.01'),fruit,-18.59932099,1,19,0.0,1.0012706480304956,0.8563838351312189,12,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
edible_fruit,Synset('edible_fruit.n.01'),fruit,-17.08169057,2,196,1.3401360544217686,0.7509529860228716,1.1735630333279663,12,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
emperor,Synset('emperor.n.02'),fruit,-11.19968283,1,0,0.0,1.1264294790343077,0.4599098373852842,7,1,4,nb,4,0.0,0.0,0.0,80,444,204,7588,8,0
empire,Synset('empire.n.05'),fruit,-10.56605705,1,0,0.0,1.1264294790343077,1.4907422315247143,6,1,5,nb,16,0.0,0.0,0.0,150,706,318,13300,116,52
feijoa,Synset('feijoa.n.02'),fruit,-19.50519771,1,0,1.3401360544217686,0.8761118170266836,1.474883271614877,6,2,2,b,0,0.0,0.0,0.0,0,0,0,0,0,0
fig,Synset('fig.n.04'),fruit,-11.72639269,1,0,1.3401360544217686,0.8761118170266836,1.474883271614877,3,1,4,b,155,3e-06,6.25e-06,5.6140350877192985e-06,160,1065,457,19691,58,46
flame_tokay,Synset('flame_tokay.n.01'),fruit,-23.02585093,1,0,0.0,1.2515883100381195,0.3806150378360972,11,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
fox_grape,Synset('fox_grape.n.02'),fruit,-19.0965936,1,2,1.3401360544217686,1.1264294790343077,2.109241668008372,9,1,2,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
freestone,Synset('freestone.n.01'),fruit,-15.39675721,1,0,0.0,0.8761118170266836,0.9991144743197552,9,1,1,nb,0,0.0,0.0,0.0,0,0,0,13,0,0
genip,Synset('genip.n.02'),fruit,-20.37242935,1,0,1.3401360544217686,0.8761118170266836,1.6969087103526004,5,2,2,b,0,0.0,0.0,0.0,0,0,0,0,0,0
genipap,Synset('genipap.n.01'),fruit,-21.25250498,1,0,1.3401360544217686,0.8761118170266836,0.903960714860731,7,2,2,b,0,0.0,0.0,0.0,0,0,0,0,0,0
golden_delicious,Synset('golden_delicious.n.01'),fruit,-17.96333216,1,0,0.0,1.2515883100381195,0.5867815166639833,16,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
gooseberry,Synset('gooseberry.n.02'),fruit,-14.813054,1,0,1.3401360544217686,1.1264294790343077,0.8405248752213814,10,1,2,nb,0,2e-06,0.0,7.017543859649123e-07,2,10,2,122,0,0
granadilla,Synset('granadilla.n.04'),fruit,-18.14372875,1,0,2.6802721088435373,1.0012706480304956,1.268716792786991,10,1,4,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
granny_smith,Synset('granny_smith.n.01'),fruit,-16.61650629,1,0,0.0,1.1264294790343077,0.6819352761230076,12,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
grape,Synset('grape.n.01'),fruit,-12.43200131,1,14,2.6802721088435373,0.8761118170266836,1.4273063918853648,5,1,3,b,1,0.000123,0.00016125,0.00014614035087719298,10,47,24,900,18,6
grapefruit,Synset('grapefruit.n.02'),fruit,-14.29523827,1,0,2.6802721088435373,1.0012706480304956,1.3004347126066655,10,1,2,b,0,2.4e-05,1.5833333333333333e-05,1.5087719298245613e-05,4,12,8,220,32,16
greengage,Synset('greengage.n.01'),fruit,-18.5541717,1,0,0.0,1.0012706480304956,0.7295121558525197,9,2,1,nb,0,0.0,0.0,0.0,0,0,0,4,2,0
grimes,Synset('grimes'_golden.n.01'),fruit,-23.02585093,1,0,0.0,1.1264294790343077,0.7929479954918693,14,1,1,nb,126,0.000235,0.00023708333333333334,0.00023578947368421054,120,673,284,11866,253,103
guava,Synset('guava.n.03'),fruit,-15.27146196,1,0,1.3401360544217686,0.8761118170266836,1.3480115923361775,5,1,3,b,0,0.0,0.0,5.263157894736842e-07,0,0,0,48,0,0
heart_cherry,Synset('heart_cherry.n.02'),fruit,-20.21233271,1,1,0.0,1.1264294790343077,0.7453711157623572,7,3,2,nb,0,0.0,0.0,0.0,0,0,0,2,0,0
honeydew,Synset('honeydew.n.01'),fruit,-16.46789904,1,0,0.0,1.2515883100381195,1.617613910803413,8,2,2,nb,0,0.0,0.0,0.0,0,0,0,25,0,0
huckleberry,Synset('huckleberry.n.03'),fruit,-15.80184815,1,0,1.3401360544217686,1.0012706480304956,1.316293672516503,11,1,3,nb,0,6e-06,8.75e-06,2.1052631578947366e-06,0,3,0,69,6,9
jaboticaba,Synset('jaboticaba.n.02'),fruit,-19.80098456,1,0,1.3401360544217686,0.8761118170266836,0.9673965545000806,10,1,2,b,0,0.0,0.0,0.0,0,0,0,0,0,0
jackfruit,Synset('jackfruit.n.02'),fruit,-13.8871139,1,0,1.3401360544217686,0.8761118170266836,1.934793109000161,3,3,14,b,487,3.7e-05,3.75e-05,4.543859649122807e-05,42,272,106,4970,143,73
jaffa_orange,Synset('jaffa_orange.n.01'),fruit,-20.52210875,1,0,0.0,1.2515883100381195,0.6026404765738207,12,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
jonathan,Synset('jonathan.n.01'),fruit,-11.37546812,1,0,0.0,1.1264294790343077,0.697794236032845,8,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
jujube,Synset('jujube.n.02'),fruit,-17.7899017,2,0,1.3401360544217686,0.8761118170266836,0.8246659153115441,6,3,3,b,0,0.0,0.0,0.0,0,3,0,6,0,0
kai_apple,Synset('kai_apple.n.01'),fruit,-23.02585093,1,0,1.3401360544217686,0.8761118170266836,1.3638705522460153,9,1,1,b,0,0.0,0.0,0.0,0,0,0,0,0,0
ketembilla,Synset('ketembilla.n.02'),fruit,-23.02585093,1,0,1.3401360544217686,0.8761118170266836,1.6493318306230882,10,3,2,b,0,0.0,0.0,0.0,0,0,0,0,0,0
key_lime,Synset('key_lime.n.01'),fruit,-17.57556668,1,0,0.0,1.1264294790343077,0.697794236032845,8,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
kiwi,Synset('kiwi.n.03'),fruit,-16.62445269,1,0,1.3401360544217686,0.8761118170266836,0.9356786346804058,4,3,4,b,0,1.8e-05,2.5e-05,1.2105263157894737e-05,15,66,36,510,9,6
kumquat,Synset('kumquat.n.02'),fruit,-17.67664764,1,0,1.3401360544217686,1.0012706480304956,0.9991144743197552,7,1,2,b,0,0.0,0.0,0.0,0,0,0,4,0,0
lane,Synset('lane's_prince_albert.n.01'),fruit,-19.79203828,1,0,0.0,1.1264294790343077,0.4916277572049589,20,1,1,nb,192,8e-06,1.0833333333333334e-05,7.368421052631579e-06,74,442,200,7970,238,94
lanseh,Synset('lanseh.n.01'),fruit,-21.46818127,1,0,1.3401360544217686,0.8761118170266836,0.618499436483658,5,4,1,b,0,0.0,0.0,0.0,0,0,0,2,0,0
lemon,Synset('lemon.n.01'),fruit,-12.14423231,1,0,2.6802721088435373,1.0012706480304956,0.6502173563033328,5,1,5,b,80,0.00029,0.0002708333333333333,0.00027649122807017545,58,329,131,5669,273,113
lime,Synset('lime.n.06'),fruit,-11.51544551,1,1,1.3401360544217686,1.0012706480304956,0.8088069554017067,4,1,8,b,31,0.0,3.3333333333333333e-06,0.0,74,293,162,4707,88,24
lingonberry,Synset('lingonberry.n.02'),fruit,-19.16444779,1,0,1.3401360544217686,1.0012706480304956,0.9515375945902432,8,4,2,nb,0,0.0,0.0,0.0,0,0,0,2,0,0
litchi,Synset('litchi.n.02'),fruit,-18.18404947,1,0,1.3401360544217686,0.8761118170266836,1.6651907905329255,5,7,2,b,0,0.0,0.0,0.0,0,0,0,5,1,0
loganberry,Synset('loganberry.n.02'),fruit,-18.27226984,1,0,1.3401360544217686,1.0012706480304956,0.5233456770246337,10,1,2,nb,0,0.0,0.0,0.0,0,0,0,10,0,0
loquat,Synset('loquat.n.02'),fruit,-17.76247435,1,0,1.3401360544217686,0.8761118170266836,1.6969087103526004,6,2,3,b,0,0.0,0.0,0.0,0,0,0,4,0,0
macoun,Synset('macoun.n.01'),fruit,-18.0687873,1,0,0.0,1.2515883100381195,0.697794236032845,6,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
mamey,Synset('mamey.n.02'),fruit,-18.83527283,1,0,1.3401360544217686,0.8761118170266836,1.5541780711640638,5,3,4,b,0,0.0,0.0,0.0,0,0,0,14,0,0
