norm,BNC_2_4m_Count
banker,9
self-fertile,1
mike,94
outstanding,64
refer,60
persuade,44
spoke,141
fostering,4
craftsmen,16
cultivated,16
future,499
smolensk,4
molly,20
£370,2
darkness,67
ever,557
ethical,26
likely,507
market,661
balance,212
adequately,22
gs2,1
needing,15
randall,8
audits,5
90pc,1
services,528
stresses,22
books,275
1″,1
1600–1840,1
blown,27
thought,1139
throbbed,2
ceramics,9
widely,134
m7b5,1
lynn,12
balcony,21
included,257
painting,81
troupe,4
lean,17
collecting,43
playa,2
else,447
reached,228
called,691
available,591
trust,191
hot,189
displaced,16
1790s,5
ebb,5
age-sex,1
providing,188
european,414
vest,7
toes,21
principal,100
previous,252
needs,422
variations,39
resulted,69
columns,47
off,1547
clinch,3
longer,332
vote,152
unsuccessful,23
less,827
chief,262
left,941
butts,2
claims,203
chose,41
term,263
relatively,159
halswelle,1
fist,16
policy,570
goes,333
sacking,8
displays,40
express,99
equipped,31
disrespect,4
civil,178
debated,17
gwrach-y-rhibyn,1
daisies,2
replace,72
patients,422
sub-committee,6
related,206
170c/325f/gas,1
aimed,76
statements,94
cumbernauld,6
realized,70
mo,10
really,978
hendon,3
friend,353
strainers,1
invisible,28
closed,197
oysters,2
minister,526
division,205
ninety,70
efficiency,75
steyr,1
light-hearted,4
ideas,227
believed,187
experiment,73
1989,302
equipment,176
spain,92
everything,439
accessible,42
munificent,1
rents,14
outside,486
similarly,95
"25,000",7
passing,115
cut,369
lights,78
adversely,7
catholic,96
tips,19
quite,815
opener,11
contemporary,83
1972,71
winner,57
user,125
state,866
possible,743
use,1347
handling,72
girlfriend,20
strong,332
philippe,5
university,340
anticipated,47
accordance,44
sides,113
democracy,88
managed,159
divisional,23
feel,575
slowest,2
month,323
text,149
roque,2
lunch,125
bicester,5
craftspeople,2
integer,6
alerted,9
patriotic,10
possibility,145
crimes,47
venloer,1
sloppily,1
round,639
cuéllar,4
1992,238
description,103
bmp-2,1
period,508
success,298
advantage,143
letters,194
assessment,153
occupational,29
comes,368
transplantation,4
stores,46
mill,83
sole,48
option,109
soil,91
announced,230
raising,69
threw,60
second,815
issues,250
districts,44
hot-spot,4
manufactured,24
muscle,37
computers,90
software,205
erstwhile,5
non-dollar,1
survived,59
reach,166
hammered,6
guitarist,16
removed,100
reminding,13
princess,45
gpc,2
proportion,128
changed,248
colchester,13
female,163
road-,1
story,280
edwardian,7
roger,50
nature,359
federally,2
washing,59
doubled,35
feed-and-expansion,1
versa,9
thinks,90
enjoyable,28
hirn,1
conservative/labour,1
£70,3
previously,159
promotions,14
refused,145
manual,50
carrier,19
windows,198
tourism,36
carbonate,5
murder,129
season,217
lambda,1
episodes,21
deputy,64
schubert,3
become,606
signature,16
space,275
operates,29
$5.5m,1
holiday,175
shama,2
changes,432
roam,7
sean,23
scene,140
guitar,52
eleventh,14
continue,243
administer,14
difficulty,141
deterrent,19
magic,82
distant,56
priest,45
revision,22
discovered,152
further,796
coat,64
appointed,152
pensioners,31
happened,287
closeness,11
extensively,24
journalists,39
farming,49
former,369
backplane,2
spaces,29
paying,106
runway,12
localized,6
enough,655
alongside,67
obviously,229
shall,419
promptly,29
window,229
pickup,7
1941,14
re-evaluate,1
heaves,1
unpublished,10
revolution,109
cnn,2
3,575
semi,9
mysteriously,7
thinkers,6
walker,56
prove,113
loup,2
prime,261
due,340
imminent,20
marcus,23
eye,210
v,210
dc,41
includes,150
38101,1
museum,146
sometimes,405
team,386
governments,110
original,208
cash,170
actions,92
hurried,25
embedding,2
pray,36
improving,57
argument,183
alfred,25
efforts,127
regulation,66
law,537
entirely,135
lawyers,53
three-,2
arts,115
cracked,22
identical,46
intend,42
letting,40
i.,37
bleak,21
took,795
reaction,102
hamilton,26
symphony,19
tooth,17
pain,149
montaigne,2
obvious,173
down-payment,1
pinched,10
alright,201
domesticated,7
paid,304
shrinking,9
sure,513
succeeding,12
conveniently,11
opacity,2
narcosis,1
twelve-item,1
undertaking,38
matt,27
marriage,172
coal,117
gone,391
blessed,21
happy,255
counter-mines,1
worrying,32
finest,43
patterns,107
injected,11
entitled,114
etc.,57
leith,19
adams,19
daily,181
recalled,45
mountain,87
selvey,1
hypothetical,13
water-users,1
cottage,66
tribes,16
dock,31
buckingham,19
clears,5
"£280,000",1
boasting,6
conversion,44
produced,285
approximately,59
pace,83
sugar,77
based,409
german,247
holtzapffel,1
grew,77
morning,416
specimens,27
deleted,12
provides,180
throughout,264
terms,584
gloat,1
eyesight,4
south,542
aircraft,123
species,198
body,515
action,446
treatment,274
spence,10
business,690
causation,12
r&d,13
night,772
inverkirkaig,1
individually,27
result,490
century,460
boats,30
ros,20
distinction,94
factory,99
needed,345
homeland,9
added,321
sharp,108
route,134
groinal,1
risk,266
tom,122
grilles,4
uncached,1
shares,184
rich,132
systems,382
f,97
isabelle,2
records,162
return,395
seed,29
arrange,44
receipt,32
elements,128
service,655
smiled,141
continental,39
skills,185
firm,253
district,170
olivetti,8
directors,103
disappearing,12
though,936
pair,134
drinking,60
argued,126
irrespective,17
northeast,3
known,518
aek,1
susan,46
killers,13
research,537
chromosome,6
khashinke,1
brief-,1
unwilling,29
identification,47
johns,10
accusations,16
appetite,20
mad,67
model-based,1
£39.99,1
value,365
save,164
frequent,46
private-school,1
