index,CHILDES_Count
barrier,3
click,49
uhoh,314
backbend,4
jolly,41
0i,47
locomotive,5
scream,41
blue_peter,6
babies,136
glug^glug^glug,17
caitlin,51
balloon,361
triangle,73
towards,26
jeremy,62
throw,615
hen,132
r,107
portstewart,4
diddle,7
pram,247
tower,508
wall,221
shop,403
twins,42
dinna,5
fraser,396
garage,313
superman,12
tapes,24
nanny,3
engine,208
barney,30
as_well_as,20
gum,30
whizzed,10
soon,277
key,171
goldilocks_and_the_three_bears,3
walked,49
missing,159
tapioca,71
allowed,106
own,375
slaughtered,2
scarecrow,22
mh,3
sadbh,2
position,7
rock,90
burn,40
advent,5
jack_the_tractor,2
hhh⁎,1
couldn't,438
grape,129
pains,5
jason,103
grandma's,96
wouldn't,483
kinds,31
suppose,120
awoh,38
older,60
gave,246
tea,1104
poor,579
seesaw,120
size,96
holding,205
reply,5
silly,583
burgers,22
icecream,436
deer,50
knew,99
ethan,64
knocked,136
sindy,20
radio,41
igloo,57
cushion,93
nut,85
habit,4
mister_snotty,3
ta-ta,52
↑⁎uh⁎,1
each_other,75
teddybear,161
umbrella,80
feeding,67
daffodils,21
munchkin,1
mend,135
spicey,13
boiler,10
properly,243
frightened,93
louise's,8
tramp,16
eighteen,53
eating,608
disk,4
nail,70
bin,223
when's,17
ugh,99
night,617
tricky,46
anne,483
faster,76
realize,32
pick,562
anna's,273
ate,124
bacon,48
drawn,28
pour,101
postman,85
mustard,8
expedition,9
rain,171
plait,11
stop,854
basically,8
without,146
↑huh,3
never,613
sara's,2
food,528
bird's,39
spider,267
call,396
middle,192
dibbly,3
horn,54
ho,70
bit's,25
kittens,42
nasty,96
mud,79
express,2
diesel,70
animals,734
eggs,491
ring,195
actual,3
along,226
chess,3
grandchildren,2
fast,257
starfish,49
°hhh,10
sticky,186
git,2
mooing,2
boo,317
opinion,2
prize,26
speed,9
mother's,30
eliminations,1
poem,4
knows,103
wee_wee,197
escape,15
rained,15
onion,67
target,12
yours,655
fuss,19
happen,209
quack,308
heard,137
tickling,52
q↑uar↓ter,1
byebye,327
close,249
himself,69
racing,96
ha,213
useta,193
earlier,20
backs,6
gates,36
mrs,25
front,389
pints,3
town,98
meows,6
snuggy,6
uhhum,94
heart,55
lauren,30
clothes,479
mooed,2
andy's,87
moocow,27
abc,14
hippo,193
works,101
lah_hey,1
bay,2
patting,3
undressing,3
ames,14
eats,105
oranges,63
candles,71
peep^peep^peep^peep,2
smoke,85
uncomfy,2
spade,28
carwash,55
bzzzz,3
there_there,38
beside,81
falling,233
leg,350
grrr,96
carl,842
had've,4
doggies,42
winner,13
garden,285
girls,220
abi's,47
bashes,1
landed,24
what've,192
choo_choo,154
huge,30
hooray,352
plant,48
sukie_cat,12
papa,146
jumper,118
caesarean,4
pen,267
looked,170
island,13
z,22
broom,56
bear,389
they'll,165
eaten,163
elf,7
clean,351
wipes,17
sock,153
bottom,464
where're,194
twelve,137
dive,9
ginger,19
took,389
glass,134
sea,167
squashed,55
cart,71
temperature,26
sixteenth,1
sweet,71
perhaps,252
mitten,20
easy,155
quickly,142
buy,576
super,67
pink,515
share,110
notice,34
teeth,309
asked,124
gail,149
kitty,123
trailer,208
stir,50
bad,353
phhhhh,3
hail,2
