index,CHILDES_Count
taught,11
either,133
0the,44
wearing,52
mum's,27
wahoo,1
numbers,36
planes,6
babyish,3
theme,1
horrible,1
blue's,2
toilet,76
heels,4
pistol,2
chewed,10
earlier,8
police,37
celery,28
quickly,57
milking,4
dental,2
apples,56
sick,87
always,167
aunty_josie,1
settles,1
bear,137
goo,7
tsk,6
cover,65
dressing,20
rolly-polly,5
frame,13
supposed,14
sweep,12
spotty,4
insurance,5
grape,41
washing,76
chatted,1
behind,143
cardboard,6
schools,4
sausage,81
thank,244
pear,56
0i,19
moment,66
fireengine,42
brothers,19
following,13
that'd,12
naturally,2
wood,39
pink,231
pretty,161
football,63
lollipop,27
ohhh,2
ears,142
drybones,4
drums,2
jelly's,1
yea,22
fact,21
fishy,9
parcel,12
°xxx,3
hurry,25
strange,28
rocker,3
driver,103
died,17
horrid,24
kitty,47
nicely,61
keeping,24
wah,28
wet,159
thomas_the_tank,11
admit,3
cooker,16
wrong,235
lays,1
before,252
holding,85
lauren,13
reindeer,20
ruth's,2
bella,11
cup,281
fishing,26
toes,116
sausages,61
things,553
shed,40
choo,132
trousers,137
chantilly,31
0can,11
mat,43
colin,16
pinger,2
empty,51
railway,18
rain,75
mommy's,31
weeks,59
tomatos,17
half,135
walks,7
tries,5
stops,24
chocolate,123
rosie's,17
beside,39
jesus,26
bulldozer,22
december,14
sitting,286
am,315
bad,173
pound,45
already,99
norwich,3
gwen,1
able,103
0am,44
auntie's,6
fortys,3
stinky,2
nothing,189
voice,10
annoying,5
telling,63
itself,10
vitamin,4
cab,18
navy,6
dance,53
rusk,6
sneeze,8
car's,44
small∆,1
stars,19
in,1
print,6
meow,25
pat,46
flower,65
gumdrop,18
ugh,49
pop,126
banjo,9
yolanda,7
mend,76
missing,65
steady,45
cristopher,3
skipped,3
tool,11
monday,32
watching,98
milkman,46
highway_code,1
pony,28
amy_r,13
smell,31
auntie,15
turtles,4
dropped,105
minutes,84
bull,55
tools,18
marion,2
shops,69
fourteen,21
airborne,7
second,60
chucky,5
for_goodness_sake,7
pines,2
footballer,7
policecar,7
late,45
pinch,25
pocket,74
apart,68
clay,12
care,34
difference,27
button's,4
spop,2
happens,100
sister,117
lying,87
tippy_turtle,1
elastics,2
anybody,68
ovengloves,2
follow,9
plenty,25
one'll,8
jebba,4
practice,6
clean,149
sunroof,3
knocked,65
promise,9
ours,14
bouncy,48
papa,75
others,26
heard,47
normally,31
pale,2
racing,43
pay,46
0do,27
ann,10
couch,26
pleased,25
