norm,BNC_1m_Count
girlfriend,10
strong,152
philippe,1
university,149
anticipated,22
accordance,19
sides,51
democracy,31
managed,68
divisional,13
feel,241
slowest,2
month,145
text,63
roque,1
lunch,57
bicester,4
craftspeople,1
integer,3
alerted,4
patriotic,7
possibility,72
crimes,17
venloer,1
sloppily,1
round,275
cuéllar,3
1992,109
description,32
bmp-2,1
period,203
success,115
advantage,63
letters,71
assessment,74
occupational,15
comes,142
transplantation,2
stores,21
mill,36
sole,16
option,50
soil,41
announced,100
raising,34
threw,24
second,346
issues,99
districts,18
hot-spot,3
manufactured,14
muscle,11
computers,41
software,82
erstwhile,3
non-dollar,1
survived,27
reach,77
hammered,4
guitarist,7
removed,41
reminding,4
princess,20
gpc,1
proportion,52
changed,108
colchester,8
female,63
road-,1
story,110
edwardian,3
roger,23
nature,137
federally,1
washing,21
doubled,16
feed-and-expansion,1
versa,7
thinks,31
enjoyable,12
hirn,1
conservative/labour,1
£70,1
previously,62
promotions,8
refused,63
manual,23
carrier,5
windows,80
tourism,12
carbonate,4
murder,61
season,91
lambda,1
episodes,8
deputy,21
schubert,2
become,250
signature,4
space,114
operates,10
$5.5m,1
holiday,76
shama,1
changes,186
roam,2
sean,8
scene,57
guitar,18
eleventh,2
continue,104
administer,7
difficulty,63
deterrent,9
magic,40
distant,23
priest,15
revision,9
discovered,63
further,320
coat,24
appointed,71
pensioners,12
happened,122
closeness,5
extensively,11
journalists,16
farming,19
former,148
backplane,2
spaces,8
paying,44
runway,8
localized,1
enough,267
alongside,29
obviously,98
shall,188
promptly,11
window,91
pickup,6
1941,8
re-evaluate,1
heaves,1
unpublished,5
revolution,47
cnn,1
3,234
semi,3
mysteriously,4
thinkers,3
walker,21
prove,42
loup,1
prime,105
due,138
imminent,11
marcus,7
eye,85
v,82
dc,14
includes,63
38101,1
museum,72
sometimes,173
team,179
governments,48
original,86
cash,66
actions,28
hurried,10
embedding,1
pray,21
improving,26
argument,69
alfred,14
efforts,46
regulation,30
law,224
entirely,62
lawyers,22
three-,2
arts,42
cracked,9
identical,21
intend,19
letting,16
i.,13
bleak,13
took,311
reaction,48
hamilton,12
symphony,11
tooth,8
pain,55
montaigne,2
obvious,67
down-payment,1
pinched,4
alright,87
domesticated,4
paid,137
shrinking,3
sure,215
succeeding,2
conveniently,4
opacity,1
narcosis,1
twelve-item,1
undertaking,20
matt,10
marriage,85
coal,49
gone,169
blessed,11
happy,114
counter-mines,1
worrying,13
finest,21
patterns,45
injected,8
entitled,42
etc.,19
leith,11
adams,6
daily,74
recalled,20
mountain,41
selvey,1
hypothetical,7
water-users,1
cottage,28
tribes,9
dock,9
buckingham,7
clears,3
"£280,000",1
boasting,3
conversion,16
produced,107
approximately,30
pace,31
sugar,34
based,177
german,101
holtzapffel,1
grew,36
morning,157
specimens,16
deleted,5
provides,86
throughout,107
terms,237
gloat,1
eyesight,3
south,221
aircraft,58
species,76
body,196
action,185
treatment,115
spence,6
business,300
causation,6
r&d,10
night,326
inverkirkaig,1
individually,14
result,213
century,206
boats,13
ros,9
distinction,43
factory,31
needed,152
homeland,5
added,150
sharp,50
route,62
groinal,1
risk,105
tom,56
grilles,2
uncached,1
shares,79
rich,60
systems,175
f,43
isabelle,1
records,71
return,172
seed,12
arrange,21
receipt,10
elements,44
service,264
smiled,64
continental,17
skills,78
firm,103
district,66
olivetti,3
directors,40
disappearing,6
though,393
pair,66
drinking,22
argued,49
irrespective,7
northeast,3
known,174
aek,1
susan,21
killers,7
research,236
chromosome,2
khashinke,1
brief-,1
unwilling,11
identification,14
johns,4
accusations,9
appetite,8
mad,23
model-based,1
£39.99,1
value,150
save,72
frequent,17
private-school,1
matic,1
names,60
sources,61
knew,201
1991,112
hitherto,14
eleven,38
tbsp,7
1977,32
concentration,31
carefully,53
george,111
achieved,57
appropriate,103
became,209
reported,102
country,269
householder,2
fruit,41
henry,49
live,131
sheet,32
nausea,5
eh,29
sciences,25
factors,77
french,170
upward,7
load,28
fault,36
brother,82
powerful,58
heat,56
linear,18
ferry,14
yes,481
edmund,8
village,102
suppressed,6
council,267
monarch,6
halve,5
eating,36
sister,63
son,108
southern,58
differing,14
tumour,6
1966,19
appealed,9
roughly,25
demokratischen,1
predecessor,8
witness,26
male,111
neighbours,32
companies,163
ireland,71
chairman,105
anselm,3
goals,44
backless,1
wrong,119
recognise,25
equal,65
direct,105
teaching,74
n,88
distributed,33
focal,8
nt,18
starr,4
principle,77
sales,93
communications,32
whipped,4
shops,50
fit,73
receiving,34
causes,36
image,69
accorded,6
consists,20
stilled,6
feet,122
andover,1
leads,31
morbidity,6
british,302
sea-wall,1
emotions,18
social,356
prepubertal,1
quantity,22
blue,89
amounts,32
400,16
waste,53
mere,21
produce,105
4–2,2
figure,136
sunburnt,1
both,555
regained,3
occupation,22
na,141
golf,25
confined,20
environment,131
data,164
suggestive,6
draw,55
mass,63
flic,1
hitting,13
include,137
lent,19
settlement,34
fund,58
stolen,25
transfer,71
timeless,1
run,182
input,30
etc,46
county,101
implications,39
wit,9
apportioned,2
sick,42
colliers,1
housing,82
sadness,7
weather,60
hea,1
desperately,16
genuine,36
absence,48
finland,3
greatness,2
protests,9
flow,40
linked,39
rate,185
painted,21
subsequent,40
procedures,50
facilities,69
levels,116
totally,53
attention,128
eleanor,13
sounded,28
tapping,7
suspects,8
appointments,14
2,315
peering,6
slower,11
hello,40
months,215
knows,69
bracket,4
handle,33
corner,61
standing,74
16,74
invest,20
quartier,1
knowledgeable,4
history,177
pit,13
cried,24
debt,45
fellow,54
alike,12
conclusion,43
nationals,9
appalachian,1
regarded,73
eager,16
dissection,1
adverts,2
unhappy,21
true,139
rosy,6
minutes,177
each,532
legal,116
interview,38
rachmaninoff,1
met,117
complex,67
10-bracknell,1
powerlessness,2
walsingham,1
example,346
unknown,36
somebody,71
bar,74
recusant,1
sets,49
freeze,4
mitigation,2
secured,20
electricity,42
jesus,55
red,118
seen,330
dawn,26
ussr,12
presumptive,1
knife,31
allowance,24
item,38
always,390
overriding,7
angry,39
establishment,35
loan,41
ace,9
threat,53
neither,70
grip,15
chang,3
p,80
higher,131
shows,92
r,77
permissible,4
boswell,4
robin,21
whose,167
ships,20
justice,67
christmas,67
vga,1
expert,50
cancel,8
strain,22
later,354
dead,122
arginine-nitric,1
standards,95
mclean,5
getting,182
gladly,2
artificially,4
k.,6
represents,34
wo,140
1–11s,1
descent,12
sacrifice,9
atoms,10
selection,69
cement,7
participants,21
selling,55
commodity,9
replacement,21
prothrombotic,1
next,410
effort,67
fine,110
nine,115
behaviour,113
allen,13
composing,2
worst,46
dg,2
multi-media,3
clauses,8
cos,152
half,266
borough,18
spectacles,7
1930s,19
5.5pc,1
department,160
austerity,5
elliott,5
matrix,11
operational,11
joseph,25
acknowledging,5
4000,3
case,423
add,62
carry-out,1
key,135
hill,52
qualified,25
proposed,60
marble,8
loose,22
february,80
bell,27
hospital,115
stays,12
phone,70
science,93
twilight,3
vocals,2
front,183
loss,84
remove,41
flame,9
tarot,1
proposal,45
trendy,4
masonry,5
duty,54
mary,58
brew,3
shapechangers,1
provision,76
favourite,49
buy-out,8
'would,1
creeping,7
limiting,11
1920,11
improved,41
etonian,1
alfa,4
named,44
primary,98
sun,91
couples,16
intelligence,27
desperate,22
sheets,23
batteries,9
cheque,22
fixtures,9
mapley,1
died,120
hanley,3
forever,22
1984/5,1
regulations,41
established,118
hereof,2
overwhelming,8
signing,14
medication,6
doth,2
turn,165
interested,78
overall,68
saw,240
sara,15
tour,49
forward,116
